The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Legal, Legitimate  lawful  allowable  juridical  constitutional  , Illegal  illegitimate  unlawful  unallowable  lay  unconstitutional
Legend, Myth  fable  marvellous story  fiction  , History  fact  actual occurrence
Legible, Plain  decipherable  well-written  calligraphic  , Obscure  undecipherable  illwritten  illegible  cabalistic  cryptographic
Legitimate, Allowable  normal  fair  licit  real  genuine  fairly deduced    lawfully begotten    , Illegitimate  unallowable  unfair  illicit
Leisure, Freedom  vacation  opportunity  convenience  ease  quiet  retirement  spare time  unoccupied time  , Constraint  employment  occupation  distraction  labor  bustle  toil  business  absorption  engagement
Leisurely, Easy  deliberate  sauntering  , Eager  hurried  precipitate  rapid  expeditious
Lend, Advance  loan  grant  afford  present  , Resume  retract  appropriate  retain  withhold  refuse
Lengthen, Elongate  stretch out  prolong  [See EXTEND]    ,
Lengthy, Diffuse  prolix  tedious  long-drawn  verbose  , Concise  compendious  curt  short  brief  laconic  compact  condensed  succinct
Lenient  [See MILD and KIND], Lenient  [See MILD and KIND]    ,
Lenitive, Palliative  initiative  soothing  , Inflammatory  exaggerative  provocative  aggravating  Irritant  exasperating
Lenity  [See KINDNESS], Lenity  [See KINDNESS]    ,
Lentous  [See GELATINOUS], Lentous  [See GELATINOUS]    ,
Lessen  [See DIMINISH], Lessen  [See DIMINISH]    ,
Lesson, Precept  warning  instruction  lecture  homily  information  , misinstruction  misguidance  misinformation
Let, Permit  allow  suffer  , Prevent  hinder
Let -v, Hinder  Above    ,
Lethal  Deadly  mortal  fatal  poisonous  venomous  ANT: Invigorative  remedial  sanative  wholesome  restorative  vivifying  vital  genial, Lethal  Deadly  mortal  fatal  poisonous  venomous  , Invigorative  remedial  sanative  wholesome  restorative  vivifying  vital  genial
Lethargy, Drowsiness  torpor  oblivion  stupor  swoon  trance  , Vigilance  alertness  liveness  mindfulness  wakefulness  alacrity  activity  life
Letter, Epistle  note  communication  message  missive    ,
Lettered  [See EAST], Lettered  [See EAST]    ,
Level -n, Plane  surface  floor  equality  aim  platform  ground  coordinateness  horizontally  , Unevenness  acclivity  declivity  inequality  inco-ordinateness  verticality
Level -v, Plane  smooth  roll  flatten  equalize  raze  , Roughen  furrow  disequalize  graduate
Level -a   Horizontal  plain  flat  even  smooth  ANT: Rough  uneven  broken  rolling, Level -a   Horizontal  plain  flat  even  smooth  , Rough  uneven  broken  rolling
Levigate, Comminute  triturate  pulverize  smooth  polish  plane  , Compound  amalgamate  indent  roughen  batter
Levity, Lightness  frivolity  inconstancy  flightiness  vanity  thoughtlessness  , Earnestness  gravity  seriousness
Levy, Raise  impose  muster  exact  , Forego  surrender  reimburse  repay  liquidate
Liable  [See AMENABLE], Liable  [See AMENABLE]    ,
Libel, Defamation  detraction  traducement  calumny  slander  defamatory publication  lampoon  , Retraction  vindication  apology  eulogy  panegyric  puff  advocacy  encomium
Libellous, Defamatory  calumnious  , Laudatory  eulogistic
Liberal, Free  gentle  refined  polished  generous  bountiful  catholic  enlarged  copious  ample  profuse  large  handsome  munificent  abundant  noble-minded  bounteous  tolerant  plentiful  , Churlish  low  mean  boorish  ungenerous  illiberal  grasping  niggardly  avaricious  greedy  gainful  narrow-minded  bigoted  prejudiced  contracted  scanty  inadequate
Liberate  [See CONFINE], Liberate  [See CONFINE]    ,
Libertine, Rake  debauchee  , Ascetic  anchorite  recluse  hermit  puritan  saint
Liberty, Freedom  leave  independence  permission  privilege  license  franchise  immunity  insult  impropriety  volition  voluntariness  exemption  , Slavery  servitude  restraint  constraint  submission  dependence  obligation  compulsion  deference  respect  considerateness  necessity  fatality  predestination
Librate  [See BALANCE], Librate  [See BALANCE]    ,
Licence -n  [See LIBERTY], Licence -n  [See LIBERTY]    ,
License -t, Permit  allow  indulge  , Restraint  disallow  withhold  forbid  prohibit
Licentious, Voluptuous  dissolute  rakish  debauched  self-indulgent  lax  profligate  loose  unbridled  , Temperate  strict  sober  self-controlled  ascetic  self-denying  rigid
Licit, Lawful  legal  allowable  equitable  , Illegal  illicit  unfair
Lie -n, Falsehood  untruth  fabrication  subterfuge  evasion  fib  fiction  falsity  , Truth  fact  veracity
Lie -v, Rest  repose  be  remain  , Rise  move  stir
Lief, Gladly  willingly  readily  , Slowly  unwillingly  reluctantly  sloth
Life, Vitality  duration  existence  condition  conduct  animation  vivacity  personality  estate  society  morals  spirit  activity  history  career  , Mortality  decease  death  non-existence  dullness  torpor  portraiture  lethargy  lifelessness
Lifeless  [See LIFE and DEAD], Lifeless  [See LIFE and DEAD]    ,
Lift, Raise  elevate  upraise  upheave  exalt  hoist  elate  erect  , Lower  sink  depress  crush  overwhelm  degrade  dash  cast  hurl
Ligament, Bond  band  bandage  ligature  brace  strap  girth  , Divulsion  discerption  disconnection  fracture  dislocation  severance  laceration  splinter  breach  disbandment  shield  fender  disconnector
Light -n, Luminosity  radiance  beam  gleam  phosphorescence  scintillation  coruscation  flash  brightness  brilliancy  effulgence  splendor  blaze  candle  lamp  lantern  explanation  instruction  illumination  understanding  interpretation  day  life  , Darkness  dimness  obscurity  shade  duskiness  gloom  extinction  misinterpretation  ignorance  misunderstanding  night  death  confusion  mystification  tenebrosity
Light -a, Imponderous  portable  unweighty  buoyant  volatile  easy  digestible  scanty  active  unencumbered  empty  slight  gentle  unsteady  capricious  vain  frivolous  characterless  thoughtless  unthoughtful  unconsidered  inadequate  incompact  unsubstantial  inconsiderable  not difficult  bright  whitish  trifling  , Heavy  ponderous  weighty  immovable  leaden  solid  hard  indigestible  full  lazy  encumbered  burdened  oppressed  weighed  loaded  laden  ballasted  grave  serious  important  violent  steady  firm  principled  cautious  reflective  reliable  liable  sensible  earnest  thoughtful  well-considered  well-weighed  adequate  stiff  compact  dark  dark-colored
Lightsome  [See CHEERFUL], Lightsome  [See CHEERFUL]    ,
Like -n, Equal  correspondent  similar  resembling  , Unequal  different  dissimilar
Like  -v, Love  approve  enjoy  relish  affect  , Hate  dislike  loathe  mislike  detest  abhor  abominate
Likely  [See PROBABLE], Likely  [See PROBABLE]    ,
Likelihood  [See PROBABILITY], Likelihood  [See PROBABILITY]    ,
Likeness, Similarity  resemblance  correspondence  similitude  parity  copy  imitation  portrait  representation  image  effigy  carte de visite  picture  , Dissimilarity  dissimilitude  disparity  inequality  unlikeness  original
Likewise, So  also  too  as well  to boot  besides  , Not  otherwise
Liking, Love  approval  relish  infection  taste  inclination  partiality  fondness  , Hatred  dislike  disrelish  aversion  repugnance  loathing  disinclination  abhorrence
Limit  [See BOUND], Limit  [See BOUND]    ,
Limitless  [See INFINITE], Limitless  [See INFINITE]    ,
Limpid, Transparent  translucent  crystalline  pure  lucid  clear  , Opaque  turbid  luteous  foul  muddy
Line, Cord  thread  length  outline  row  direction  verse  course  method  succession  sequence  continuity  , Breadth  contents  space  divergency  deviation  fluctuation  variation  interruption  discontinuance  solution
Lineage, Descent  house  family  race  ancestry  progeny  breed  descendants  , Ancestor  founder  source  origin
Lineament, Line  mark  feature  form  profile  , Face  countenance  visage  aspect
Linear, Direct  straight  rectilinear  , Incurved  divergent  collateral  lateral  curvilinear  zigzag
Linger, Tarry  loiter  saunter  lag  hesitate  wait  , Haste  speed  press  push
Link  [See CONNECTION], Link  [See CONNECTION]    ,
Liquefaction  [See MELT], Liquefaction  [See MELT]    ,
Liquescence  [See MELT], Liquescence  [See MELT]    ,
Liquid, Fluid  liquescent  melting  running  watery  fluent  soft  mellifluous  limpid  flowing  clear  smooth  , Solid  solidified  concrete  congealed  hard  dry  indissolvable  insoluble  harsh  discordant
Liquidate  [See FAT], Liquidate  [See FAT]    ,
List, Catalogue  roll  register  inventory  schedule  [See RECORD]    ,
Listen, Hear  attend  hearken  incline  give ear  heed  , Disregard  ignore  refuse  repudiate
Listless, Indifferent  careless  uninterested  vacant  languid  indolent  supine  lackadaisical  torpid  heedless  , Eager  interested  curious  ardent  attentive  absorbed  active  engaged  earnest
Literal, Exact  grammatical  verbal  close  real  positive  actual  plain  , General  substantial  metaphorical  free  spiritual
Literary, Erudite  scholarly  studious  , Illiterate  unscholarly  unstudious
Literature, Lore  erudition  reading  study  learning  attainment  scholarship  literary works  , Genius  intuition  inspiration
Little, Pliant  flexible  limber  supple  elastic  agile  pliable  , Tough  inflexible  inelastic  stiff
Litigious, Quarrelsome  disputatious  contentious  , Complacent  contented  acquiescent  genial  facile
Litter, Scatter  mislay  discompose  disorder  derange  , Clear  clean  order  lay  methodize  arrange
Little, Small  tiny  pigmy  diminutive  short  brief  scanty  unimportant  insignificant  slight  weak  inconsiderable  trivial  illiberal  mean  petty  paltry  dirty  shabby  dwarf  , Big  bulky  large  enormous  huge  monstrous  full-sized  long  full  developed  much  important  grave  serious  momentous  liberal  generous  noble  high-minded  handsome
Live -v, Vegetate  grow  survive  continue  abide  dwell  last  subsist  behave  act  breathe  exist  , Die  perish  wither  demise  migrate  vanish  fade  fail  languish  depart  drop  decease
Live -a, Animate  , Inanimate  defunct
Livelihood, Maintenance  support  living  substance  sustenance  , Privation  starvation  want  inanition  beggary
Lively, Brisk  animated  keen  eager  blithe  alert  vivid  vivacious  quick  spirited  vigorous  sprightly  active  , Lifeless  torpid  dull  inanimate  indifferent  listless  insensate
Livery, Uniform  garb  badge  dependence  servitude  retainership  retinue  subservience  , Freedom  immunity  insubservience
Living -a   [See LIVE  a], Living -a   [See LIVE  a]    ,
Living  [See LIVELIHOOD], Living  [See LIVELIHOOD]    ,
Load -n, Weight  lading  cargo  oppression  incubus  drag  burden  , Refreshment  support  solace  alleviation  emptiness  lightness
Load -v, Burden  charge  lade  cargo  cumber  oppress  , Disburden  unload  disencumber  lighten  alleviate  believe
Loan, Advance  mortgage  hypothecation  , Recall  resumption  foreclosure
Loathe  [See ABOMINATE], Loathe  [See ABOMINATE]    ,
Loathsome  [See ABOMINABLE], Loathsome  [See ABOMINABLE]    ,
Locality  [See PLACE], Locality  [See PLACE]    ,
Locate, Place  establish  settle  fix  dispose  lodge  , Displace  disestablish  dislodge  remove
Location  [See LOCALITY], Location  [See LOCALITY]    ,
Locomotion, Movement  migration  travel  passage  , Stationariness  stoppage  rest  abode  remanence  fixture
Locomotive, Migratory  , Stationary
Lodge  [See LOCATE], Lodge  [See LOCATE]    ,
Lofty, Elevated  towering  high  dignified  eminent  stately  haughty  majestic  airy  tall  , Depressed  low  stunted  undignified  ordinary  unstately  mean  unimposing  unassuming  affable
Logical, Close  argumentative  sound  , Inconclusive  illogical  fallacious
Logomachy, Wrangle  strife  contension  debate  , Chat  colloquy  conversation  confabulation
Loiter  [See LAG], Loiter  [See LAG]    ,
Loll, Lounge  recline  , Rise  stir
Lonely  [See LONESOME], Lonely  [See LONESOME]    ,
Lonesome, Forlorn  dreary  forsaken  Wild  solitary  desolate  lonely  , Cheerful  befriended  festive  frequented  populous  gay  animated  bustling
Long, Protracted  produced  dilatory  lengthy  tedious  prolix  extensive  diffuse  far-reaching  , Short  curt  curtailed  brief  speedy  quick  concise  condensed
Longing, Eagerness  desire  aspiration  craving  yearning  wishing  , Indifference  repugnance  aversion
Look -n  [See ASPECT], Look -n  [See ASPECT]    ,
Look -v, See  behold  contemplate  observe  seem  appear  face  , Overlook  miss  misobserve  misbeseem  lurk  smoulder
Look at, See  view  eye  gaze at  behold  witness  inspect  , [See LOOK]
Loom, Glimmer  lower  gloam  , Dwindle  pale  recede  fade  vanish  disappear
Loose -v, Untie  unfasten  let  , Tie  fasten  hold  retain
Loose -a, Unbound  detached  flowing  scattered  sparse  incompact  vague  inexact  rambling  dissolute  licentious  , Bound  tied  fastened  tight  moored  lashed  secured  thick  close  dense  compact  pointed  accurate  exact  consecutive  strict  logical  scientific  conscientious
Lop, Prune  curtail  shorten  retrench  amputate  truncate  , Grow  trail  train  elongate  lead
Loquacity, Talkativeness  , Taciturnity
Lordly, Lofty  magnificent  majestic  noble  proud  imperious  , Mean  beggarly  ignoble  unimposing  humble  servile  lowly
Lordship, Rule  dominion  jurisdiction  , Homage  subjection  subservience
Lore  [See LEARNING], Lore  [See LEARNING]    ,
Lose, Miss  drop  mislay  forfeit  , Keep  retain  find  recover  locate  earn  guard  treasure  economize  utilize  preserve  abandon  discard  reject
Loss, Mislaying  dropping  forfeiture  missing  privation  waste  detriment  damage  , Preservation  recovery  earning  satisfaction  restoration  economy  augmentation  advantage  gain
Lot, Chance  fortune  fate  hazard  ballot  doom  , Law  provision  arrangement  disposal  design  purpose  plan  portion  allotment
Loth, Reluctant  unwilling  , Ready  willing  lief
Loud, Sounding  sonorous  resonant  noisy  audible  vociferous  clamorous  obstreperous  , Soft  gentle  subdued  whispering  rustling  murmuring  babbling  pattering  tinkling  dulcet  inaudible  quiet
Lounge  [See LOLL and LOITER], Lounge  [See LOLL and LOITER]    ,
Lout, Clown  looby  clodhopper  clod  , Dandy  fop  cockney  prig
